"ENSEMBLID","convalescent","healthy1","healthy2","healthy3","healthy4","healthy5","healthy6","healthy7","healthy8","healthy9","healthy10","healthy11","healthy12","healthy13","healthy14","healthy15","healthy16","healthy17","moderate1","moderate2","moderate3","moderate4","severe1","severe2","severe3","severe4","severe5","severe6","severe7","severe8","ICU1","ICU2","ICU3","ICU4","healthy_mean","moderate_mean","severe_mean","ICU_mean","mod_health_foldChange","sevr_health_foldChange","ICU_health_foldChange"
"ENSG00000188536",134,1,212,1063,7,55,31,111,7,39,19,113,5,0,0,438,467,97,9,10257,21918,3841,19,0,2709,12,160,6091,6958,43860,1863,113552,17,12906,156.764705882353,9006.25,7476.125,32084.5,57.4507504690432,47.6901031894934,204.66660412758
"ENSG00000250361",1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,63,66,18,0,4,8,1,2,57,16,201,7,328,1,79,0.529411764705882,36.75,36.125,103.75,69.4166666666667,68.2361111111111,195.972222222222
"ENSG00000133742",13,1,2,13,1,3,0,2,0,5,0,5,1,137,0,4,34,4,3,515,715,423,3,356,109,3,6,2991,152,3296,432,4672,2,4520,12.4705882352941,414,864.5,2406.5,33.1981132075472,69.3231132075472,192.974056603774
"ENSG00000206177",3,0,1,2,0,0,0,1,0,0,0,0,1,56,0,8,12,3,0,301,371,124,1,116,116,0,6,355,136,1518,169,2432,1,786,4.94117647058824,199,281,847,40.2738095238095,56.8690476190476,171.416666666667
"ENSG00000158578",47,0,5,70,3,6,5,22,1,6,1,14,5,804,0,18,83,23,2,2641,6799,1216,10,1233,835,0,24,4667,2513,16806,1621,27287,7,9679,62.7058823529412,2664.5,3261,9648.5,42.4920262664165,52.0046904315197,153.8691369606
"ENSG00000223609",27,1,8,6,8,5,8,32,0,1,5,5,2,191,3,8,30,12,1,694,1909,845,11,241,565,2,10,2274,330,5013,345,7961,29,3412,19.1176470588235,862.25,1055.75,2936.75,45.1023076923077,55.2238461538462,153.614615384615
"ENSG00000204010",1,0,6,0,0,1,0,0,2,1,4,0,0,54,0,1,2,2,3,86,188,205,0,61,200,2,2,569,12,440,142,1468,1,937,4.29411764705882,120.5,160.75,637,28.0616438356164,37.4349315068493,148.342465753425
"ENSG00000169877",3,2,0,0,1,0,2,0,1,0,0,0,0,68,0,3,7,0,0,205,439,115,4,62,59,0,3,278,100,1144,104,1924,9,579,4.94117647058824,189.75,206.25,654,38.4017857142857,41.7410714285714,132.357142857143
"ENSG00000170180",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,6,8,1,0,0,1,0,21,3,26,1,43,1,15,0.117647058823529,4.75,6.5,15,40.375,55.25,127.5
"ENSG00000143416",5,4,3,7,2,6,0,17,1,4,7,0,0,75,1,2,11,3,2,221,646,176,4,121,117,1,0,524,270,1673,149,2790,6,1254,8.41176470588235,261.25,338.75,1049.75,31.0576923076923,40.270979020979,124.795454545455
